X,Y
11.0142,24.8831
2.7066,14.7374
11.5839,64.025
8.9989,16.1965
2.1201,7.3907
2.0488,6.9402
10.5329,15.7899
6.6729,17.5977
10.3672,29.3154
4.2062,14.064
10.0596,11.9729
4.4858,20.8156
11.9827,40.4525
11.379,16.5363
7.5396,18.2908
11.127,21.8486
8.3549,21.1988
9.801,18.3301
7.6722,14.8563
3.9176,13.5459
11.0625,23.7775
7.1486,19.2816
11.9898,24.7649
5.7733,15.7102
4.0611,13.9916
9.2995,17.5158
5.1344,22.3828
3.1758,13.2734
10.8861,3.2233
8.9312,16.9437
11.399,35.1381
6.1717,23.1184
10.1577,10.8257
10.0484,42.846
5.604,15.9853
11.1381,10.5398
4.8832,12.6912
3.65,9.9301
6.5586,28.4173
4.4282,4.154
2.0192,7.4087
8.1534,24.461
8.6123,28.6228
8.6034,8.2278
8.8048,34.6546
10.5065,11.211
2.3731,7.6528
8.8078,19.5631
7.7114,26.9222
8.9021,27.707
10.9557,26.9671
4.6686,18.4331
2.6855,8.9114
5.136,23.347
9.8918,25.6931
6.9834,6.1065
6.3703,11.9815
3.6841,8.7369
4.6456,9.0425
8.8388,28.5182
10.1664,13.0536
9.0552,23.1086
7.7654,19.587
11.9406,19.6437
6.6119,18.9432
6.9335,13.9951
4.7396,23.2378
8.551,9.1897
6.0706,18.7505
4.9996,12.5009
8.0544,19.4213
9.9117,7.6724
11.7089,38.2726
9.7338,26.5711
7.9998,29.7642
6.4907,22.0128
3.5347,9.2576
4.1123,8.2001
9.0035,18.4077
11.5618,34.1304
8.3547,12.478
10.9127,24.1531
4.1629,4.2268
8.8354,13.9732
5.1506,17.7397
2.2539,11.3479
10.2025,39.5958
6.3267,20.3099
2.8871,11.8171
11.3508,16.5973
5.9078,5.1251
7.8793,28.5948
4.3984,16.1632
8.5357,25.8741
5.6653,20.037
6.8125,15.6412
6.0169,23.7885
5.338,20.7997
4.6759,13.0023
9.6784,18.3955
